Rider,CQ
GUALDI Simone,8
MAROLT Jaka,0
RACCAGNI NOVIERO Andrea,115
SCARONI Christian,210
GRUEL Thibaud,22
IZAGIRRE INSAUSTI Ion,0
REMIJN Senna,0
VENDRAME Andrea,124 
AGOSTINACCHIO Mattia,0
PERICAS CAPDEVILA Adria,8
ROWE Elliot,0
ARRIETA LIZARRAGA Igor,102
DOUBLE Paul,5
GARCIA PIERNA Raul,59
GAROFOLI Gianmarco,11
JORGENSON Matteo,0
NARVAEZ PRADO Jhonatan Manuel,28
RAMIREZ TORRES Mateo Pablo,0
CRABBE Tom,32
DECOMBLE Maxime,79
HOBBS Noah,0
ASKEY Lewis,5
ETXEBERRIA ANSALAS Haimar,10
FREDHEIM Stian,0
KOPECKY Matyas,0
LOPEZ GRANIZO Harold Martin,0
OMRZEL Jakob,0
DE SCHUYTENEER Steffen,48
KUBIS Lukas, 143
MARIT Arne,95
MIHKELS Madis,5
NERURKAR Lukas,14
NOVAK Pavel,10
TUCKWELL Luke,10
WRIGHT Fred,0
JEGAT Jordan,0
RONDEL Mathys,92
TURNER Ben,55
ALVAREZ MARTINEZ Hector,65
SPARFEL Aubin,0
BARRE Louis,0
BARRY Ashlin,0
MOURIS Michiel,0
ØRN-KRISTOFF Felix,6
COSTIOU Ewen,130
MOSCHETTI Matteo,23
MULUBRHAN Henok,83
WATSON Samuel,72
