Team,Rider
BABY YODA - OSF,LUND ANDRESEN Tobias
BABY YODA - OSF,CASTRILLO ZAPATER Pablo
BABY YODA - OSF,BARONCINI Filippo
BABY YODA - OSF,BRENNER Marco
BABY YODA - OSF,DOUBLE Paul
BABY YODA - OSF,GARCIA PIERNA Raul
BABY YODA - OSF,GAROFOLI Gianmarco
BABY YODA - OSF,TORRES ARIAS Pablo
BERGERO CORSE,ONLEY Oscar
BERGERO CORSE,SOLER GIMENEZ Marc
BERGERO CORSE,HERRADA LOPEZ Jesus
BERGERO CORSE,MOZZATO Luca
BERGERO CORSE,KONRAD Patrick
BERGERO CORSE,RYAN Archie
BERGERO CORSE,VAN MOER Brent
BERGERO CORSE,MAROLT Jaka
BERGERO CORSE,SCARONI Christian
BERGERO CORSE,CONSONNI Simone
BERGERO CORSE,GIAIMI Luca
DAINESTO PAGILLO,GALL Felix
DAINESTO PAGILLO,SKUJINS Toms
DAINESTO PAGILLO,LANDA MEANA Mikel
DAINESTO PAGILLO,ENGELHARDT Felix
DAINESTO PAGILLO,LAPORTE Christophe
DAINESTO PAGILLO,ACKERMANN Pascal
DAINESTO PAGILLO,COSTA Rui Alberto Faria
DAINESTO PAGILLO,WILLIAMS Stephen
DPJ,VAUQUELIN Kévin
DPJ,ALAPHILIPPE Julian
DPJ,SIVAKOV Pavel
DPJ,VAN WILDER Ilan
DPJ,SHEFFIELD Magnus
DPJ,WITHEN PHILIPSEN Albert
DPJ,MADOUAS Valentin
DPJ,KRISTOFF Alexander
DPJ,RODRIGUEZ CANO Carlos
DPJ,VAN UDEN Casper
DPJ,LEONARD Michael
DPJ,VERGALLITO Luca
DPJ,SVRCEK Martin
GIANCICLI WW,WAERENSKJOLD Søren
GIANCICLI WW,LAURANCE Axel
GIANCICLI WW,PENHOËT Paul
GIANCICLI WW,TILLER Rasmus Fossum
GIANCICLI WW,PARET PEINTRE Valentin
GIANCICLI WW,GAUDU David
GIANCICLI WW,KRIJNSEN Jelte
GIANCICLI WW,REMIJN Senna
GONDAVERI,YATES Adam
GONDAVERI,ULISSI Diego
GONDAVERI,UIJTDEBROEKS Cian
GONDAVERI,MARTIN GUYONNET Guillaume
GONDAVERI,BLACKMORE Joseph
GONDAVERI,AGOSTINACCHIO Mattia
GONDAVERI,ZINGLE Axel
GONDAVERI,HATHERLY Alan
GONDAVERI,VALJAVEC Erazem
LEGNANO,DE LIE Arnaud
LEGNANO,BRENNAN Matthew
LEGNANO,MARTINEZ Lenny
LEGNANO,ARENSMAN Thymen
LEGNANO,CHAMPOUSSIN Clément
LEGNANO,ROMEO ABAD Ivan
LEGNANO,KÜNG Stefan
LEGNANO,RUBIO REYES Einer Augusto
MARTINONE UNO,HINDLEY Jai
MARTINONE UNO,SILVA COUSSAN Guillermo Thomas
MARTINONE UNO,COVI Alessandro
MARTINONE UNO,TARLING Joshua
MARTINONE UNO,VERMAERKE Kevin
MARTINONE UNO,POOLE Max
