Team,Rider,Date,Race,Class,RaceURL
BABY YODA - OSF,PIGANZOLI Davide,2026-10-10,Il Lombardia,1.UWT,race/il-lombardia/2026
BABY YODA - OSF,BENOOT Tiesj,2026-08-19,Renewi Tour,2.UWT,race/renewi-tour/2026
BABY YODA - OSF,BENOOT Tiesj,2026-08-30,Bretagne Classic - CIC,1.UWT,race/bretagne-classic/2026
BABY YODA - OSF,BENOOT Tiesj,2026-09-11,Grand Prix Cycliste de Québec,1.UWT,race/gp-quebec/2026
BABY YODA - OSF,BENOOT Tiesj,2026-09-13,Grand Prix Cycliste de Montréal,1.UWT,race/gp-montreal/2026
BABY YODA - OSF,BENOOT Tiesj,2026-10-10,Il Lombardia,1.UWT,race/il-lombardia/2026
BABY YODA - OSF,BENOOT Tiesj,2026-10-13,Tour of Guangxi,2.UWT,race/tour-of-guangxi/2026
BABY YODA - OSF,CASTRILLO ZAPATER Pablo,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
BABY YODA - OSF,DOUBLE Paul,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
BABY YODA - OSF,GARCIA PIERNA Raul,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
BABY YODA - OSF,GAROFOLI Gianmarco,2026-08-13,Czech Tour,2.Pro,race/czech-tour/2026
BABY YODA - OSF,TORRES ARIAS Pablo,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
BABY YODA - OSF,JORGENSON Matteo,2026-10-10,Il Lombardia,1.UWT,race/il-lombardia/2026
BERGERO CORSE,POGACAR Tadej,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
BERGERO CORSE,POGACAR Tadej,2026-10-10,Il Lombardia,1.UWT,race/il-lombardia/2026
BERGERO CORSE,MILAN Jonathan,2026-08-16,ADAC Cyclassics,1.UWT,race/cyclassics-hamburg/2026
BERGERO CORSE,MILAN Jonathan,2026-08-19,Renewi Tour,2.UWT,race/renewi-tour/2026
BERGERO CORSE,MILAN Jonathan,2026-09-02,ZLM Tour,2.1,race/zlm-tour/2026
BERGERO CORSE,HERRADA LOPEZ Jesus,2026-08-22,La Vuelta Ciclista a España,2.UWT,race/vuelta-a-espana/2026
BERGERO CORSE,NAESEN Oliver,2026-08-19,Renewi Tour,2.UWT,race/renewi-tour/2026
BERGERO CORSE,NAESEN Oliver,2026-08-30,Bretagne Classic - CIC,1.UWT,race/bretagne-classic/2026
BERGERO CORSE,NAESEN Oliver,2026-09-16,Skoda Tour de Luxembourg,2.Pro,race/tour-de-luxembourg/2026
BERGERO CORSE,BENNETT George,2026-08-13,Czech Tour,2.Pro,race/czech-tour/2026
BERGERO CORSE,BENNETT George,2026-09-27,World Championships ME - Road Race,WC,race/world-championship/2026
BERGERO CORSE,CONSONNI Simone,2026-08-19,Lidl Deutschland Tour,2.Pro,race/deutschland-tour/2026
BERGERO CORSE,GIAIMI Luca,2026-08-05,Volta a Portugal em Bicicleta,2.1,race/volta-a-portugal/2026
